state,stateLetters,Population,2006,2007,2008,2009,2010,2011,2012,2013
ALASKA,AK,735132,15713,552,12500,460.12,4823.76,466503.38,205814.48,0
ALABAMA,AL,4833722,2597307.15,989802.1,810601.57,3108157.44,2851229.02,6361311.68,57771111.92,39515190.41
ARKANSAS,AR,2959373,1369171.71,63998,109329.55,256760.52,52300.07,2237867.1,3453006.27,7732817.27
ARIZONA,AZ,6626624,605039.74,582688.04,622772.35,2436201.75,657009.69,8939380.12,11770854.99,6922315.56
CALIFORNIA,CA,38332521,1888011.61,2106481.68,6050941.79,13699318.35,10131736.13,8592673.29,20647096.2,18999202.59
COLORADO,CO,5268367,437042.71,40576,15465.78,201284.04,438887.16,2074804.73,3494695.36,7287348.58
CONNECTICUT,CT,3596080,55904,207482.97,81227.91,69974.31,929847.19,187556,1207721.49,1963799.67
DISTRICT OF COLUMBIA,DC,646449,0,,12813840,1205130.28,4614720,71375.35,110802.92,2925609.54
DELAWARE,DE,925749,32244.42,1996,2468.26,1093.68,90138.72,1693071.69,6125033.49,3299660.07
FLORIDA,FL,19552860,4208941.42,1495428.94,8313753.26,2718902.71,40054524.44,155514257.6,9390597.68,20111166.09
GEORGIA,GA,9992167,871817.21,486993.39,1296836.63,3831022.65,1763398.27,5502144.66,24564620.7,23619700.23
GUAM,GU,"159,358",0,0,0,23645.75,239430,355937.34,2848630.1,1627454.9
HAWAII,HI,1404054,0,0,0,7786.31,1268.1,0,100000,0
IOWA,IA,3090416,141564.23,7750,41276.36,28145.18,35824.87,200583.68,338675.18,2939988.41
IDAHO,ID,1612136,65616.13,545.69,13928.23,263100.05,121148.05,615021.92,1679347.01,4266617.83
ILLINOIS,IL,12882135,1651092.64,136526.35,1353469.46,2135330.19,651901.62,8147566.5,19664661.08,17616871.19
INDIANA,IN,6570902,683790.57,83537.37,355167.04,1937780.17,586121.09,5870143.23,15433460.72,14965192.01
KANSAS,KS,2893957,104497.89,86516.1,41513,51737.72,165025.87,747929.69,328905.95,2316697.25
KENTUCKY,KY,4395295,2341667.12,35134.91,1531752.74,234765.04,180072.81,5243547.63,16658117.51,12583316.53
