state,stateLetters,Population,2006,2007,2008,2009,2010,2011,2012,2013
ALASKA,AK,735132,15713,552,37500,5766.33,23843.46,600861.18,279323.9,0
ALABAMA,AL,4833722,2600035.6,1091734.38,839680.57,3777572.14,3391569.46,8981300.14,77140459.14,48138513.8
ARKANSAS,AR,2959373,1369171.71,63998,109329.55,271939.81,26544.63,2260221.12,4043698.99,7984785.78
ARIZONA,AZ,6626624,682487.74,582688.04,2761093.78,2839420.73,801384.38,11611398.85,20396654.76,11293000.27
CALIFORNIA,CA,38332521,1986115.42,2264023.59,9018128.25,18545193.65,14940193.01,13700462.6,40259801.78,33709025.61
COLORADO,CO,5268367,437042.71,40576,15465.78,492400.66,481151.83,2180814.76,5154645.36,9500933.88
CONNECTICUT,CT,3596080,55904,207482.97,81227.91,70430.5,931656.76,187556,1376794.78,2061984.98
DISTRICT OF COLUMBIA,DC,646449,0,0,12813840,1207476.6,4614720,207794.7,419675.88,4012970.78
DELAWARE,DE,925749,32244.42,1996,2468.26,5617.68,7798.26,1605017.56,7674806.71,4705122.42
FLORIDA,FL,19552860,4212941.42,1495428.94,8313753.26,3218355.2,40136488.71,164663950.1,9977229.75,21028359.06
GEORGIA,GA,9992167,871817.21,490224.39,1807677.26,4626242.43,2375664.9,7454506.81,35244940.03,33761672.64
GUAM,GU,"159,358",0,0,0,120659.28,189284,354102.34,4147042.82,2320339.24
HAWAII,HI,1404054,0,0,0,15572.62,2536.2,0,100000,0
IOWA,IA,3090416,141564.23,7750,41276.36,35649.3,40142.12,218619.71,383704.64,2971789.25
IDAHO,ID,1612136,65616.13,1091.38,13928.23,275758.1,130170.82,753985.12,1933997.79,4504561.73
ILLINOIS,IL,12882135,1685425.85,137532.35,1447369.78,2817042.76,1301752.82,11161621.92,22923928.38,20685605.83
INDIANA,IN,6570902,689785.57,270660.37,383846.08,2752116.54,1090269.18,6488810.95,19675232.06,17858875.08
KANSAS,KS,2893957,111999.65,149078.7,41513,75062.73,165846.17,749290.86,343907.91,2320317.8
KENTUCKY,KY,4395295,2375337.61,375029.32,1733065.61,475952.3,719487.99,3353751.26,20190218.9,15129859.09
LOUISIANA,LA,4625470,678132.75,913992.71,427116.25,1932977.5,403528.91,566761.11,2660903.19,5169355.2
MASSACHUSETTS,MA,6692824,167098.26,10362,16934,277013.54,528360.13,1142670.34,5771547.46,2561178.66
MARYLAND,MD,5928814,653499.65,272132,287528.23,4016619.59,48303.39,843434.44,1675700.01,2830138.92
MAINE,ME,1328302,88302.11,24492,27194.46,666381.45,460032.49,916180.17,6245288.01,7820968.87
MICHIGAN,MI,9895622,892709.58,189293.72,928006.5,1424260.05,1071272.38,3283535.63,25145598.15,21902838.2
MINNESOTA,MN,5420380,576050.8,498916.37,387912.92,342155.21,43571.79,623606.1,2472898.53,4554336.1
MISSOURI,MO,6044171,143651.55,40272,343669,2264066.75,206588.52,2468558.56,5259538.56,4892137.61
MISSISSIPPI,MS,2991207,512065,7485,404733.1,32973.06,2298,4191.78,761110.91,275607.49
MONTANA,MT,1015165,144109.39,358092.41,119656.72,451819.16,453922.94,183205.92,6490387.18,1480413.12
NORTH CAROLINA,NC,9848060,2334201.75,838506,381148.11,5895750.75,20115.69,307065.99,5042267.69,7982410.45
NORTH DAKOTA,ND,723393,171861,46119.85,23767.42,1498,20412,103006.84,2417992.77,1175347.5
NEBRASKA,NE,1868516,22172.48,2994,37595.71,35617.1,1080,2729.55,286416.33,5164410
NEW HAMPSHIRE,NH,1323459,44187,2272,54780,534,10866.6,693286.26,4474448.44,4082639.38
NEW JERSEY,NJ,8899339,251703,2495,138704.42,191640,25000,432093.74,4031916.61,19749356.63
