state,2011,2012,2013
AK,590790,54269.56,
AL,2477333.56,25499516.17,28305596.14
AR,956533.64,1662670.84,3947365.28
AZ,4329214.21,8594448.83,8272421.82
CA,4289078.66,15964003.98,22360684.42
CO,923825.7,2671154.42,5800733.65
CT,48127,1024018.42,1916926.85
DC,,267643,2703034.78
DE,202217.96,1738177.17,3173560.46
FL,504470.71,3722052.17,9465294.74
GA,1425767.98,11962552.94,21859459.75
GU,77253,2243550.42,1061261.8
HI,,50000,
IA,592.71,228966.45,2028021.59
ID,130037.53,844063.41,3768141.32
IL,1504536.89,7503186.63,12263054.22
IN,1063241.93,7644008.42,13065390.6
KS,226880,147217.16,739741.5
KY,955288.45,9098797.69,7748250.75
LA,253988,2008945.96,1087901.5
MA,420028.69,2842035.06,2127502.43
MD,48704,1440515.84,1775200.75
ME,89865.93,2282050.35,5643067.24
MI,420868.98,7170688.94,26757829.25
MN,66206,1588748.89,2594296.69
MO,1163867.11,2352883.06,2432769.54
MS,,242094.66,69880.94
MT,150,756094.22,1405032.36
NC,176631.17,3024505.61,5479884.22
ND,50258,421194.98,276905.88
NE,276,47046.97,2628688
NH,510136.32,1926925.9,3427367.09
NJ,172924,1319188.41,9721281.74
NM,570473.58,2988252.86,5025476.38
NV,55064.73,2015460.75,1511701.03
NY,358021.8,4354368.89,11363969.58
OH,1226778.42,6927959.86,9980084.85
OK,484762.13,2424550.26,3138056.58
OR,50116.08,1650011.31,1864042.42
PA,26069.46,1503586.46,357258.17
PR,596285.92,6266733.37,9760582.33
RI,661802.57,1302466.12,478110.89
SC,2683205.83,4026437.05,17145915.78
SD,300847.88,806114.69,52395.86
TN,2035620.03,10618163.86,17457022.22
TX,1664858.99,15271315.14,20727999.81
UT,3290,362525.96,716525.34
VA,746718.95,1386320.19,7568404.56
VI,,50000,
VT,95978,244789.31,206338.01
WA,301014.27,4760846.59,5103891.37
WI,1086419.1,949112.51,1402904.22
WV,774071.42,2303629.89,864880.8
WY,415858.28,405400.54,1484049.84
